MASSACHUSETTS AVE             ,SIDNEY ST                     ,559
INMAN ST                      ,MASSACHUSETTS AVE             ,232
BROOKLINE ST                  ,MASSACHUSETTS AVE             ,201
MASSACHUSETTS AVE             ,UPLAND RD                     ,147
ESSEX ST                      ,MASSACHUSETTS AVE             ,127
BROADWAY                      ,HAMPSHIRE ST                  ,117
BRATTLE ST                    ,JFK ST                        ,114
CAMBRIDGE ST                  ,FIRST ST                      ,107
HAMPSHIRE ST                  ,WINDSOR ST                    ,107
ALBANY ST                     ,MASSACHUSETTS AVE             ,106
MASSACHUSETTS AVE             ,PROSPECT ST                   ,102
BEECH ST                      ,MASSACHUSETTS AVE             ,99
MASSACHUSETTS AVE             ,VASSAR ST                     ,93
MASSACHUSETTS AVE             ,ROSELAND ST                   ,75
HOLYOKE ST                    ,MASSACHUSETTS AVE             ,65
AMES ST                       ,BROADWAY                      ,60
MASSACHUSETTS AVE             ,SIDNEY ST EXT                 ,58
MASSACHUSETTS AVE             ,SHEPARD ST                    ,56
AMHERST ST                    ,MASSACHUSETTS AVE             ,56
EVERETT ST                    ,MASSACHUSETTS AVE             ,54
DOUGLASS ST                   ,MASSACHUSETTS AVE             ,52
CAMBRIDGE ST                  ,HAMPSHIRE ST                  ,51
HAMPSHIRE ST                  ,PROSPECT ST                   ,44
COLUMBIA ST                   ,HAMPSHIRE ST                  ,40
MASSACHUSETTS AVE             ,PLEASANT ST                   ,38
MASSACHUSETTS AVE,ROSELAND ST,36
MASSACHUSETTS AVE             ,PEARL ST                      ,36
BEECH ST,MASSACHUSETTS AVE,34
CAMBRIDGE ST                  ,THIRD ST                      ,32
MASSACHUSETTS AVE             ,WATERHOUSE ST                 ,29
DOVER ST                      ,MASSACHUSETTS AVE             ,28
BROADWAY                      ,THIRD ST                      ,26
FRONT ST                      ,MASSACHUSETTS AVE             ,25
ELIOT ST                      ,MT AUBURN ST                  ,25
MASSACHUSETTS AVE             ,MEMORIAL DR                   ,24
BROADWAY                      ,GALILEI WAY                   ,22
MASSACHUSETTS AVE             ,WESTERN AVE                   ,22
JFK ST                        ,MT AUBURN ST                  ,21
LINNAEAN ST                   ,MASSACHUSETTS AVE             ,21
CAMBRIDGE ST                  ,HUNTING ST                    ,20
LANDSDOWNE ST                 ,MASSACHUSETTS AVE             ,20
INMAN ST,MASSACHUSETTS AVE,20
MASSACHUSETTS AVE             , ,19
MASSACHUSETTS AVE,SIDNEY ST,16
MASSACHUSETTS AVE             ,SOMERVILLE AVE                ,15
MASSACHUSETTS AVE,UPLAND RD,14
BROADWAY                      ,INMAN ST                      ,14
MAIN ST                       ,WINDSOR ST                    ,14
BROADWAY                      ,QUINCY ST                     ,13
MAIN ST                       ,PORTLAND ST                   ,12
BROADWAY                      ,PORTLAND ST                   ,12
BRATTLE ST                    ,MASSACHUSETTS AVE             ,12
HAMPSHIRE ST                  ,PORTLAND ST                   ,12
CAMBRIDGE ST                  ,WILLOW ST                     ,11
CHAUNCY ST                    ,MASSACHUSETTS AVE             ,11
PUTNAM AVE                    ,RIVER ST                      ,11
MASSACHUSETTS AVE             ,PLYMPTON ST                   ,11
BROADWAY                      ,PROSPECT ST                   ,10
MASSACHUSETTS AVE             ,NORFOLK ST                    ,10
GARDEN ST                     ,MASSACHUSETTS AVE             ,10
CAMBRIDGE ST,FIRST ST,10
CAMBRIDGE ST                  ,PROSPECT ST                   ,9
BRATTLE ST                    ,CHURCH ST                     ,9
ESSEX ST,MASSACHUSETTS AVE,9
DUNSTER ST                    ,MASSACHUSETTS AVE             ,9
BROADWAY                      ,ELLERY ST                     ,9
MASSACHUSETTS AVE             ,TEMPLE ST                     ,8
MASSACHUSETTS AVE,PROSPECT ST,8
CAMBRIDGE ST                  ,SECOND ST                     ,8
BRATTLE ST                    ,STORY ST                      ,8
EVERETT ST,OXFORD ST,8
BROADWAY                      ,TROWBRIDGE ST                 ,8
BROADWAY                      ,WINDSOR ST                    ,8
HARVARD ST                    ,PROSPECT ST                   ,7
GREEN ST                      ,PLEASANT ST                   ,7
EXETER PK                     ,MASSACHUSETTS AVE             ,7
MASSACHUSETTS AVE             ,TROWBRIDGE ST                 ,7
MASSACHUSETTS AVE             ,RINDGE AVE                    ,7
MASSACHUSETTS AVE,SHEPARD ST,7
MASSACHUSETTS AVE             ,WENDELL ST                    ,7
OXFORD ST                     ,SACRAMENTO ST                 ,6
BISHOP ALLEN DR               ,COLUMBIA ST                   ,6
HANCOCK ST                    ,MASSACHUSETTS AVE             ,6
MASSACHUSETTS AVE             ,WALDEN ST                     ,6
MAGAZINE ST                   ,MASSACHUSETTS AVE             ,6
CAMBRIDGE ST                  ,SIXTH ST                      ,6
GARFIELD ST                   ,MASSACHUSETTS AVE             ,6
AMHERST ST,MASSACHUSETTS AVE,6
COLUMBIA ST                   ,HARVARD ST                    ,6
FIFTH ST                      ,GORE ST                       ,6
AMES ST                       ,MAIN ST                       ,6
MT AUBURN ST                  ,PUTNAM AVE                    ,5
CAMBRIDGE ST                  ,SPRINGFIELD ST                ,5
LANDSDOWNE ST,MASSACHUSETTS AVE,5
HAMPSHIRE ST,WINDSOR ST,5
HAMPSHIRE ST                  ,WEBSTER AVE                   ,5
