Citation Number,Date Time Issued,Street Number,Street Name,Cross Street,Charge Code,Charge Description
R7121753,4/1/16 10:34,,EXETER PK,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R6854349,4/11/16 7:43,,COLUMBIA ST,HAMPSHIRE ST,85/11B,BICYCLE VIOLATION c85 S11B
R7120893,4/13/16 16:55,,MASSACHUSETTS AVE,SIDNEY ST,85/11B,BICYCLE VIOLATION c85 S11B
R6588477,4/13/16 17:00,,MASSACHUSETTS AVE,SIDNEY ST,85/11B,BICYCLE VIOLATION c85 S11B
R6775879,4/13/16 17:00,,MASSACHUSETTS AVE,SIDNEY ST,85/11B,BICYCLE VIOLATION c85 S11B
R7120894,4/13/16 17:05,,MASSACHUSETTS AVE,SIDNEY ST,85/11B,BICYCLE VIOLATION c85 S11B
R6588478,4/13/16 17:20,,MASSACHUSETTS AVE,SIDNEY ST EXT,85/11B,BICYCLE VIOLATION c85 S11B
R7120896,4/13/16 17:40,,MASSACHUSETTS AVE,SIDNEY ST,85/11B,BICYCLE VIOLATION c85 S11B
R7120691,4/13/16 17:52,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7724980,4/14/16 9:13,,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7724546,4/14/16 9:45,,MASSACHUSETTS AVE,VASSAR ST,85/11B,BICYCLE VIOLATION c85 S11B
R7724553,4/14/16 10:20,,AMHERST ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7724552,4/14/16 10:30,,AMHERST ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7724670,4/19/16 12:15,,MASSACHUSETTS AVE,VASSAR ST,85/11B,BICYCLE VIOLATION c85 S11B
R7724675,4/19/16 12:50,,DEWOLFE ST,MT AUBURN ST,85/11B,BICYCLE VIOLATION c85 S11B
R7724676,4/19/16 13:15,,MASSACHUSETTS AVE,SIDNEY ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715285,4/20/16 9:15,,BEECH ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7715325,4/20/16 9:18,,BEECH ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7715286,4/20/16 9:25,,BEECH ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7715287,4/20/16 9:30,,BEECH ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7715288,4/20/16 14:00,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7715327,4/20/16 14:21,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7715296,4/25/16 8:59,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715297,4/25/16 9:10,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715063,4/25/16 9:37,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7715064,4/25/16 9:44,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7715065,4/25/16 9:44,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7715066,4/25/16 9:48,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7715309,4/25/16 16:13,,BROOKLINE ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7724971,4/8/16 17:55,,AMES ST,BROADWAY,85/11B,BICYCLE VIOLATION c85 S11B
R7121772,4/12/16 18:30,,MASSACHUSETTS AVE,PROSPECT ST,85/11B,BICYCLE VIOLATION c85 S11B
R7120266,4/13/16 10:09,,BRATTLE ST,JFK ST,85/11B,BICYCLE VIOLATION c85 S11B
R7120267,4/13/16 10:26,1414,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7715781,4/14/16 8:47,,HARVARD ST,LEE ST,85/11B,BICYCLE VIOLATION c85 S11B
R6588479,4/14/16 17:10,,MAIN ST,PORTLAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7118624,4/15/16 17:57,,MASSACHUSETTS AVE,PROSPECT ST,85/11B,BICYCLE VIOLATION c85 S11B
R7724981,4/15/16 19:30,,CAMBRIDGE ST,SIXTH ST,85/11B,BICYCLE VIOLATION c85 S11B
R7121755,4/17/16 8:49,,MASSACHUSETTS AVE,UPLAND RD,85/11B,BICYCLE VIOLATION c85 S11B
R7715281,4/19/16 7:40,,MASSACHUSETTS AVE,UPLAND RD,85/11B,BICYCLE VIOLATION c85 S11B
R7121719,4/19/16 8:45,,MASSACHUSETTS AVE,UPLAND RD,85/11B,BICYCLE VIOLATION c85 S11B
R7121756,4/19/16 9:14,,MASSACHUSETTS AVE,UPLAND RD,85/11B,BICYCLE VIOLATION c85 S11B
R7121758,4/19/16 9:28,,MASSACHUSETTS AVE,UPLAND RD,85/11B,BICYCLE VIOLATION c85 S11B
R7121720,4/19/16 9:30,,MASSACHUSETTS AVE,UPLAND RD,85/11B,BICYCLE VIOLATION c85 S11B
R7121757,4/19/16 9:30,,MASSACHUSETTS AVE,UPLAND RD,85/11B,BICYCLE VIOLATION c85 S11B
